Statistic,Value
L2.loads,"[1218, 0, 0, 0, 0, 0, 0, 0]"
L2.stores,"[624, 0, 0, 0, 0, 0, 0, 0]"
L2.workingset-size,N/A
L1-D.load-size-1,"[16378, 0, 0, 0, 0, 0, 0, 0]"
L1-D.load-size-2,"[751, 0, 0, 0, 0, 0, 0, 0]"
L1-D.load-size-4,"[4004232, 0, 0, 0, 0, 0, 0, 0]"
L1-D.load-size-8,"[15933, 0, 0, 0, 0, 0, 0, 0]"
L1-D.load-size-16,"[618, 0, 0, 0, 0, 0, 0, 0]"
L1-D.load-size-32,"[9, 0, 0, 0, 0, 0, 0, 0]"
L1-D.load-size-64,"[0, 0, 0, 0, 0, 0, 0, 0]"
L1-D.load-size-other,"[46, 0, 0, 0, 0, 0, 0, 0]"
L1-D.store-size-1,"[159, 0, 0, 0, 0, 0, 0, 0]"
L1-D.store-size-2,"[15, 0, 0, 0, 0, 0, 0, 0]"
L1-D.store-size-4,"[2001305, 0, 0, 0, 0, 0, 0, 0]"
L1-D.store-size-8,"[10799, 0, 0, 0, 0, 0, 0, 0]"
L1-D.store-size-16,"[654, 0, 0, 0, 0, 0, 0, 0]"
L1-D.store-size-32,"[0, 0, 0, 0, 0, 0, 0, 0]"
L1-D.store-size-64,"[0, 0, 0, 0, 0, 0, 0, 0]"
L1-D.store-size-other,"[26, 0, 0, 0, 0, 0, 0, 0]"
